Date,PRECTOTCORR,WS2M,T2M_RANGE,T2M_MAX,T2M_MIN,PS,ALLSKY_SFC_SW_DWN,RH2M,T2MDEW,RainStatus
10/3/1988,11.85,2.04,5.64,29.89,24.25,100.61,18.31,87.63,24.42,1
10/4/1988,42.61,3.02,5.03,29.11,24.08,100.76,12.95,89.9,24.34,1
10/5/1988,18.98,2.63,5.67,29.05,23.38,100.72,13.35,90.83,24.2,1
10/6/1988,12.45,2.85,4.83,28.75,23.92,100.64,11.39,90.52,24.22,1
10/7/1988,12.5,2.37,5.4,29.33,23.93,100.59,14.32,89.96,24.42,1
10/8/1988,1.69,2.13,3.66,27.75,24.09,100.59,13.36,93.38,24.7,1
10/9/1988,3.53,1.72,4.29,28.33,24.04,100.62,11.66,92.26,24.51,1
10/10/1988,0.05,2.9,4.53,28.1,23.57,100.44,9.87,90.11,23.41,1
10/11/1988,0.64,2.69,6.46,29.31,22.85,100.31,12.29,86.97,23.07,1
10/12/1988,5.18,2.31,8.48,30.63,22.15,100.4,13.81,87.52,23.8,1
10/13/1988,1.07,2.49,7.79,30.85,23.06,100.57,16.77,86.72,24.12,1
10/14/1988,6.17,1.64,6.19,29.22,23.03,100.69,19.26,90.3,24.29,1
10/15/1988,7.28,1.44,4.99,28.68,23.69,100.66,15.96,90.74,24.47,1
10/16/1988,9.97,2.74,4.33,28.33,24,100.48,12.09,90.72,24.16,1
10/17/1988,17.58,2.92,6.16,29.89,23.73,100.65,16.04,89.94,24.46,1
10/18/1988,0.32,1.97,5.37,29.19,23.82,100.82,20.51,90.57,24.26,1
10/19/1988,1.23,0.85,7.12,30.61,23.49,100.89,21.66,82.23,23.03,1
10/20/1988,2.93,2.11,8.25,31.4,23.15,100.74,19.81,84.39,24.11,1
10/21/1988,0.1,1.03,7.45,31.77,24.32,100.65,21.59,80.88,23.59,1
10/22/1988,8.95,1.87,7.08,30.07,22.99,100.56,21.19,85.8,23.61,1
10/23/1988,2.23,1.05,7.49,30.53,23.04,100.65,21.07,82.33,23.21,1
10/24/1988,0.97,1.99,6.3,29.82,23.52,100.65,17.94,88.11,24.09,1
10/25/1988,1.51,1.8,5.33,28.85,23.52,100.62,11.98,88.69,23.47,1
10/26/1988,9.24,1.43,7.79,30.13,22.34,100.53,18.04,87.71,23.88,1
10/27/1988,4.23,1.96,3.38,26.69,23.31,100.55,18.32,89.69,23.24,1
10/28/1988,0,2.66,7.71,29.55,21.84,100.72,20.69,83,21.83,0
10/29/1988,0,2.74,5.88,26.86,20.98,100.77,20.39,83.64,20.64,0
10/30/1988,0,2.36,8.41,28.01,19.6,100.81,21.33,85.15,21.12,0
10/31/1988,0.04,2.09,6.53,28.62,22.09,100.92,20.53,86.21,22.49,1
11/1/1988,1.48,2.26,6.7,29.73,23.03,100.96,21.32,87.3,23.77,1
11/2/1988,0,2.54,7.2,31.25,24.05,100.94,20.4,84.73,24.22,0
11/3/1988,0,3.14,8.21,30.66,22.45,100.95,20.07,81.83,22.89,0
11/4/1988,0,3.22,7.6,28.84,21.24,100.99,17.71,79.89,20.82,0
11/5/1988,0,3.5,8.63,29.75,21.12,101.04,21.16,80.46,20.99,0
11/6/1988,0.77,4.51,5,25.66,20.66,100.98,13.77,83.93,19.92,1
11/7/1988,3.08,4.64,5.54,24.51,18.97,100.69,8.98,90.14,20.26,1
11/8/1988,0.58,2.17,7.83,30.02,22.19,100.69,8.46,87,23.13,1
11/9/1988,1.11,1.7,7.43,30.77,23.34,100.77,16.13,83.67,23.18,1
11/10/1988,0.8,2.32,8.92,30.83,21.91,100.85,20.59,80.99,22.13,1
11/11/1988,0,3.02,8.72,29.31,20.59,100.96,21.03,79.09,20.29,0
11/12/1988,0,2.76,8.73,27.7,18.97,101.02,21.84,80.56,19.6,0
11/13/1988,0.03,1.5,9.29,30.32,21.03,101,15.42,81.56,22.07,1
11/14/1988,0.04,0.73,8.12,31.14,23.02,100.91,19.3,80.66,23.2,1
11/15/1988,0,1.51,8.7,32.36,23.66,100.88,18.56,76.42,23.04,0
11/16/1988,0.01,1.68,9.54,32.58,23.04,100.81,20.02,76.66,22.52,1
11/17/1988,0,1.65,10.41,33.02,22.61,100.82,20.92,74.62,22.07,0
11/18/1988,0.25,2.96,10.34,32.81,22.47,100.97,19.87,73.34,21.82,1
11/19/1988,0.13,3.38,10.86,32.96,22.1,100.99,20.55,69.94,20.79,1
11/20/1988,0.36,3.22,6.86,29,22.14,101.03,12.73,75.6,20.8,1
11/21/1988,0.21,2.14,10.6,32.43,21.83,100.86,14.71,72.47,21.02,1
11/22/1988,0.44,1.81,10.08,32.96,22.88,100.78,20.17,70.96,21.52,1
11/23/1988,4.94,1.46,5.26,28.93,23.67,100.9,17.56,79.89,22.28,1
11/24/1988,23.31,1.56,8.25,31.2,22.95,101.03,13.71,81.34,22.53,1
11/25/1988,0.03,1.61,8.14,30.85,22.71,101.01,21.36,75.71,20.78,1
11/26/1988,10.85,2.21,11.16,31.94,20.78,100.99,21.49,77.79,21.44,1
11/27/1988,0,2.82,9.63,31.19,21.56,101.08,20.96,75.01,20.66,0
11/28/1988,0,3.33,10.11,29.68,19.57,101.21,20,69.82,18.2,0
11/29/1988,0,3.77,11.01,30.15,19.14,101.23,13.43,67.76,17.69,0
11/30/1988,0,3.24,10.79,31.23,20.44,101.17,15.37,69.97,19.07,0
12/1/1988,0,3.33,11.36,31.96,20.6,101.19,19.02,67.53,18.71,0
12/2/1988,0.05,2.77,12.66,31.74,19.08,101.32,21.79,66.56,17.94,1
12/3/1988,0,2.85,13.1,31.54,18.44,101.3,21.59,65.39,17.03,0
12/4/1988,0,2.4,11.35,32.42,21.07,101.16,19.05,66.13,19.34,0
12/5/1988,0,2.66,11.37,32.13,20.76,101.12,20.44,66.05,18.32,0
12/6/1988,0,2.14,13,31.72,18.72,100.98,21.54,64.1,16.61,0
12/7/1988,0,1.47,13.1,31.88,18.78,100.88,21.28,67.18,17.36,0
12/8/1988,0,1.56,13.08,32.05,18.97,101.03,21.36,65.65,17.31,0
12/9/1988,0,2,12.41,31.55,19.14,101.26,21.37,64.52,17.14,0
12/10/1988,0,2.91,10.73,31.95,21.22,101.41,17.83,60.82,17.07,0
12/11/1988,0.9,3.07,12.94,31.59,18.65,101.39,21.01,61.56,15.89,1
12/12/1988,0.23,2.69,12.55,30.74,18.19,101.35,21.33,62.28,15.38,1
12/13/1988,0,2.47,13.56,31.66,18.1,101.25,21.04,61.28,15.77,0
12/14/1988,0,2.19,12.59,31.51,18.92,101.2,20.73,62.97,16.04,0
12/15/1988,0,3.06,14.42,31.32,16.9,101.15,21.22,55.45,13.36,0
12/16/1988,0,3.32,12.94,31.2,18.26,101.24,17.71,55,14.55,0
12/17/1988,0,2.95,13.68,32.45,18.77,101.32,20.63,56.79,15.68,0
12/18/1988,0,2.36,10.85,31.07,20.22,101.32,13.26,66.51,18.43,0
12/19/1988,0,2.56,12.57,33.62,21.05,101.27,17.61,62.38,18.38,0
12/20/1988,0,2.24,13.22,34.45,21.23,101.16,21.44,58.73,17.39,0
12/21/1988,0.01,2.05,13.75,34.69,20.94,101.02,21.22,60.08,18.38,1
12/22/1988,1.04,1.61,11.86,34.85,22.99,100.93,19.49,62.82,19.78,1
12/23/1988,0.35,1.8,12.11,35.09,22.98,100.99,20.48,65.51,20.02,1
12/24/1988,0,1.2,12.34,34.48,22.14,100.93,18.69,64.22,19.59,0
12/25/1988,0,1.26,12.4,34.59,22.19,100.9,19.48,61.75,18.6,0
12/26/1988,0.03,1.97,12.36,33.26,20.9,101.05,18.63,59.28,16.55,1
12/27/1988,0.15,1.93,14.65,33.48,18.83,101.06,19.74,55.88,15.19,1
12/28/1988,0,1.38,14.76,34.29,19.53,101.04,19.2,56.1,16.46,0
12/29/1988,0,2.25,13.14,34.84,21.7,101.02,19.89,54.88,17.38,0
12/30/1988,0,2.02,12.24,35.24,23,100.99,19.01,59.71,19.48,0
12/31/1988,0,1.81,10.13,34.28,24.15,101.03,17.81,59.34,19.51,0
1/1/1989,0,2.73,11.94,35.93,23.99,101.15,20.13,55.46,18.51,0
1/2/1989,0,2.78,12.35,35.71,23.36,101.1,20.83,52.26,17.64,0
1/3/1989,0.13,1.69,11.56,35.3,23.74,101.05,17.14,55.83,19.04,1
1/4/1989,0.43,1.81,12.59,36.17,23.58,101,17.36,58.51,19.51,1
1/5/1989,0,2.38,12.27,36.71,24.44,100.9,19.59,54.63,18.15,0
1/6/1989,0.47,1.73,13.36,36.7,23.34,100.75,17.58,53.36,18.31,1
1/7/1989,0,1.71,15.38,37.91,22.53,100.67,20.94,55.42,18.9,0
1/8/1989,0,1.23,13.52,37.57,24.05,100.74,19.1,52.3,18.96,0
1/9/1989,0.88,2.35,13.85,38.22,24.37,100.62,19.51,53.83,19.55,1
1/10/1989,0.96,1.73,13.08,37.36,24.28,100.69,17.85,56.69,19.77,1
1/11/1989,0,1.93,14.59,37.76,23.17,100.69,20.28,51.97,17.19,0
1/12/1989,0,2.33,15.15,38.33,23.18,100.78,19.22,55.54,18.69,0
1/13/1989,0.23,2.72,13.79,38.94,25.15,100.85,17.91,47.79,17.94,1
1/14/1989,0.35,2.97,10.73,36.71,25.98,100.9,18.63,45.88,16.31,1
1/15/1989,0,3.16,14.51,35.6,21.09,100.97,22.31,44.17,13.87,0
1/16/1989,0,3.01,14.38,37.03,22.65,100.89,21.8,45.44,15.99,0
1/17/1989,0,2.66,12.17,37.1,24.93,100.8,21.02,44.85,16.76,0
1/18/1989,0,2.01,13.37,37.26,23.89,100.69,21.42,41.19,13.72,0
1/19/1989,0,1.11,15.37,37.56,22.19,100.55,21.6,45.42,15.1,0
1/20/1989,0,1.85,14.09,38.1,24.01,100.49,20.48,46.97,17.38,0
1/21/1989,0.05,1.99,12.44,37.75,25.31,100.53,20.73,50.17,18.66,1
1/22/1989,2.89,2.31,11.68,37.19,25.51,100.62,18.6,52.63,18.9,1
1/23/1989,0.19,2.22,10.2,36.25,26.05,100.73,16.15,48.21,17.92,1
1/24/1989,0.23,1.98,13.54,37.6,24.06,100.79,21.97,45.37,15.78,1
1/25/1989,1.95,1.54,14.45,37.62,23.17,100.82,19.76,47.65,16.57,1
1/26/1989,0.07,1.47,11.84,36.54,24.7,100.93,17.86,54.41,19.38,1
1/27/1989,4.69,1.29,10.81,35.89,25.08,101.01,16.97,58.31,20.31,1
1/28/1989,1.34,1.38,11.16,35.43,24.27,101.1,16.4,60.41,20,1
1/29/1989,0.03,2.01,12.11,36.07,23.96,101.11,17.96,49.85,16.86,1
1/30/1989,0,2.21,13.93,36.01,22.08,101.09,16.92,45.64,14.78,0
1/31/1989,0,2.01,12.36,35.88,23.52,101.09,22.88,45.34,14.42,0
2/1/1989,0,2.06,12.91,35.83,22.92,101.03,23.02,41.64,13.37,0
2/2/1989,0,1.51,12.21,35.92,23.71,100.99,22.61,42.3,14.42,0
2/3/1989,0,2.48,10.36,34.94,24.58,100.99,21.41,41.44,13.9,0
2/4/1989,0,2.15,13.31,35.75,22.44,101,21.38,40.52,13.32,0
2/5/1989,0,2.05,12.71,35.25,22.54,100.98,22,44.67,14.1,0
2/6/1989,0,1.73,14.32,36.14,21.82,100.99,23.21,43.01,13.27,0
2/7/1989,0,1.59,16.37,37.37,21,100.97,23.84,44.06,13.59,0
2/8/1989,0,2.13,14.32,36.59,22.27,100.95,23.27,49.35,15.93,0
2/9/1989,0.02,2.54,14.85,37.22,22.37,101.03,23.32,48.75,15.77,1
2/10/1989,1.19,1.74,14.3,36.56,22.26,101.13,19.69,49.3,16.51,1
2/11/1989,0,2.34,13.35,36,22.65,101.2,21.72,48.52,15.7,0
2/12/1989,0,2.12,13.19,35.07,21.88,101.14,22.96,42.65,12.95,0
2/13/1989,0,1.73,14.93,35.43,20.5,101.03,23.22,46.73,13.55,0
2/14/1989,0,1.92,15.86,36.28,20.42,100.99,19.77,45.51,13.13,0
2/15/1989,0,2.57,16.59,36.69,20.1,100.93,23.23,48.08,14.27,0
2/16/1989,0,1.61,15.94,37.47,21.53,100.91,23.49,48.94,15.65,0
2/17/1989,0,2.19,16.03,38.91,22.88,100.86,25.34,47.31,16.41,0
2/18/1989,0,2.18,14.86,38.89,24.03,100.9,23.89,45.79,16.96,0
2/19/1989,0,2.86,13.68,39.29,25.61,100.97,21.92,47.78,17.32,0
2/20/1989,0,2.26,14.71,38.9,24.19,101.03,23.91,45.06,14.86,0
2/21/1989,0,1.84,16.61,39.01,22.4,100.89,23.25,44.77,14.81,0
2/22/1989,0.52,3.26,11.77,36.53,24.76,100.86,23.93,48.9,17.38,1
2/23/1989,1.09,1.97,13.08,38.1,25.02,100.81,22.7,43.82,16.1,1
2/24/1989,0.07,1.84,15.03,38.31,23.28,100.77,20.45,46.23,16.25,1
2/25/1989,0,2.28,14.23,38.32,24.09,100.83,17.24,44.29,16.15,0
2/26/1989,0,2.05,13.3,38.05,24.75,101.01,23.04,42.11,15.71,0
2/27/1989,0.01,2.38,13.6,38.42,24.82,100.99,20.75,43.04,15.83,1
2/28/1989,0.96,1.81,12.78,37.64,24.86,100.88,22.4,51,18.72,1
3/1/1989,3,2.2,12.28,37.2,24.92,100.77,19.86,55.61,20.01,1
3/2/1989,2.84,2.39,11.78,37.45,25.67,100.68,20.47,55.41,20.22,1
3/3/1989,0.1,2.15,11.88,37.62,25.74,100.68,20,53.96,20.28,1
3/4/1989,0.49,2.29,11.36,38.11,26.75,100.65,21.46,51.16,20.03,1
3/5/1989,5.17,2.8,11.86,37.99,26.13,100.68,18.6,56.41,20.54,1
3/6/1989,5.6,1.52,11.45,36.41,24.96,100.87,13.33,59.45,20.31,1
3/7/1989,3.59,1.86,11.71,35.95,24.24,101.07,17.61,61.51,20.38,1
3/8/1989,0,2.84,12.44,35.86,23.42,101.12,24.01,53.94,18.1,0
3/9/1989,0,2.83,13.59,35.99,22.4,101.14,23.84,49.49,16.42,0
3/10/1989,0,2.37,14.55,36.38,21.83,101.05,23.03,49.1,16.34,0
3/11/1989,0.25,2.19,13.68,36.52,22.84,101,23.18,46.7,15.26,1
3/12/1989,5.67,1.39,14.36,35.56,21.2,100.95,22.54,55.59,17.36,1
3/13/1989,0,2.09,12.32,36.23,23.91,100.83,22.11,57.53,19.61,0
3/14/1989,0,1.9,12.21,37.55,25.34,100.77,22.76,54.54,19.75,0
3/15/1989,0.02,1.87,11.75,37.7,25.95,100.68,22.94,53.67,20.17,1
3/16/1989,1.99,2.49,10.03,36.71,26.68,100.67,17.63,56.3,20.97,1
3/17/1989,8.74,2.04,6.74,32.45,25.71,100.69,21.32,73.31,22.88,1
3/18/1989,12.16,2.16,7.16,31.95,24.79,100.56,16.84,78.83,23.51,1
3/19/1989,0.51,1.88,7.68,31.87,24.19,100.61,19.45,72.92,22.22,1
3/20/1989,2.17,2.23,6.62,31.19,24.57,100.67,22.79,73.05,22.1,1
3/21/1989,0.15,2.12,9.31,33.23,23.92,100.78,17.06,67.47,21.11,1
3/22/1989,0,2.37,11.51,35.52,24.01,100.74,15.74,60.46,20.3,0
3/23/1989,0,2.65,12.15,35.95,23.8,100.7,22.03,58.09,19.96,0
3/24/1989,0,2.55,12.62,36.88,24.26,100.72,21.23,57.11,20.1,0
3/25/1989,0,2.66,12.41,37.22,24.81,100.75,21.77,57.52,20.4,0
3/26/1989,0,2.29,13.47,37.98,24.51,100.74,22.61,56.14,20.22,0
3/27/1989,2.59,2.54,10.25,34.92,24.67,100.83,22.59,61.59,21.19,1
3/28/1989,6.74,1.71,9.36,34.09,24.73,100.84,22.07,67.49,21.73,1
3/29/1989,0.7,1.61,12.13,36.43,24.3,100.78,19.44,63.61,21.37,1
3/30/1989,0.06,1.84,11.79,37.33,25.54,100.83,17.72,57.64,20.87,1
3/31/1989,1.44,2.11,8.75,33.92,25.17,100.89,22.54,60.63,20.47,1
4/1/1989,0.13,2.69,11.52,36.59,25.07,100.78,22.02,57.26,20,1
4/2/1989,0,1.65,9.1,34.32,25.22,100.74,17.8,58.24,19.97,0
4/3/1989,0,2.32,9.26,35.45,26.19,100.66,21.33,58.04,20.78,0
4/4/1989,0,2.48,12.05,37.49,25.44,100.57,22.67,57.39,20.99,0
4/5/1989,0,2.95,13.81,39.42,25.61,100.44,22.62,54.05,20.8,0
4/6/1989,0,2.75,13.33,39.9,26.57,100.48,23.2,51.65,20.79,0
4/7/1989,0.52,1.7,10.24,37.78,27.54,100.59,22.54,51.66,20.65,1
4/8/1989,0.09,2.06,11.08,38.47,27.39,100.61,21.81,51.35,20.79,1
4/9/1989,0.2,2.93,7.97,34.97,27,100.73,17.87,51.15,17.96,1
4/10/1989,1.65,1.7,11.22,37.21,25.99,100.67,21.54,51.54,19.8,1
4/11/1989,0.99,2.43,12.37,39.15,26.78,100.66,20.54,49.31,19.68,1
4/12/1989,4.05,3.67,12.7,38.78,26.08,100.77,17.5,52.46,19.52,1
4/13/1989,2.99,3.53,11.26,37.31,26.05,100.81,19.43,59.9,21.33,1
4/14/1989,1.97,2.78,13.15,38.3,25.15,100.79,21.97,59.35,21.71,1
4/15/1989,0.13,2.93,12.12,38.61,26.49,100.74,22.61,56,20.92,1
4/16/1989,0,2.35,11.83,38.19,26.36,100.62,24.9,55.19,21.16,0
4/17/1989,0,2.08,12.11,39.22,27.11,100.65,19.95,52.42,20.67,0
4/18/1989,0.88,2.9,12.91,40.38,27.47,100.63,23.21,50.53,20.56,1
4/19/1989,0,2.64,13.12,40,26.88,100.55,24.67,51.66,20.74,0
4/20/1989,0,3.47,13.38,40.61,27.23,100.49,24.31,50.36,20.35,0
4/21/1989,0,2.99,13.96,41.01,27.05,100.36,19.76,52.69,21.45,0
4/22/1989,0,2.65,14.95,41.85,26.9,100.26,24.93,50.59,20.89,0
4/23/1989,0.01,2.26,11.49,39.51,28.02,100.43,24.95,52.48,21.14,1
4/24/1989,0.15,2.37,8.87,37.39,28.52,100.64,19.3,53.73,21.07,1
4/25/1989,0.14,2.33,5.45,33.63,28.18,100.76,17.76,60.69,22.25,1
4/26/1989,7.75,2.83,8.51,35.4,26.89,100.81,16.99,62.95,22.33,1
4/27/1989,17.52,1.73,6.82,32.28,25.46,100.89,16.78,75.06,23.71,1
4/28/1989,0,1.62,11.32,36.71,25.39,100.81,25.94,66.2,23.08,0
4/29/1989,0.01,2.3,11.66,37.9,26.24,100.67,23.71,61.62,22.53,1
4/30/1989,0.82,2.52,12.72,38.83,26.11,100.64,25,56.24,20.64,1
5/1/1989,0.98,2.25,11.64,37.77,26.13,100.71,24.07,58.18,21.66,1
5/2/1989,2.43,2.27,11.67,37.93,26.26,100.6,23.6,59.95,22.23,1
5/3/1989,0.15,2.52,10.25,36.52,26.27,100.57,25.43,60.26,21.83,1
5/4/1989,1.33,2.6,7.32,34.13,26.81,100.6,25.43,65.48,22.42,1
5/5/1989,1.49,3.05,10.26,36.09,25.83,100.57,18.52,64.93,22.28,1
5/6/1989,14.53,2.56,8.82,34.35,25.53,100.64,21.59,74.34,23.47,1
5/7/1989,2.73,2.35,7.7,32.8,25.1,100.67,17.06,75.91,23.49,1
5/8/1989,1.03,1.91,12.13,37.11,24.98,100.54,21.63,64.87,21.9,1
5/9/1989,0.05,2.52,10.73,36,25.27,100.42,24.33,62.66,21.99,1
5/10/1989,0.03,3.07,9.71,35.52,25.81,100.52,22.29,66.15,22.54,1
5/11/1989,0.12,1.79,8.23,34.16,25.93,100.63,24.67,69.34,23.2,1
5/12/1989,4.62,1.22,7.07,32.99,25.92,100.69,17.87,70.7,23.4,1
5/13/1989,0.07,2.23,9.47,35.27,25.8,100.67,18.18,64.93,22.59,1
5/14/1989,0.77,2.73,9.34,35.22,25.88,100.68,21.54,66.53,22.52,1
5/15/1989,0.33,2.63,11.94,36.82,24.88,100.68,18.59,62.8,21.44,1
5/16/1989,0.05,2.13,11.64,36.71,25.07,100.66,22.45,61.19,21.75,1
5/17/1989,0.18,1.27,9.91,36.5,26.59,100.57,24.72,61.99,22.6,1
5/18/1989,15.24,2.25,7.58,34.47,26.89,100.43,17.47,68.77,23.52,1
5/19/1989,31.96,2.47,5,30.6,25.6,100.44,16.65,85.96,24.89,1
5/20/1989,18.57,2.12,6.76,31.63,24.87,100.39,16.52,84.02,24.54,1
5/21/1989,2.8,2.81,8.08,33.07,24.99,100.35,20.39,78.01,23.92,1
5/22/1989,1.86,3.36,10.04,34.74,24.7,100.39,14.99,72.88,23.06,1
5/23/1989,0.52,3.5,10.12,34.68,24.56,100.37,16.67,73.19,23.44,1
5/24/1989,1.9,3.33,9.43,34.4,24.97,100.4,13.92,75.74,23.84,1
5/25/1989,3.63,2.97,6.48,31.9,25.42,100.33,14.45,82.03,24.41,1
5/26/1989,2.66,2.95,6.44,31.57,25.13,100.42,11.2,82.76,24.43,1
5/27/1989,1.81,2.29,7.07,32.21,25.14,100.56,20.66,80.79,24.31,1
5/28/1989,0.77,2.3,7.88,32.92,25.04,100.64,21.41,77.43,23.85,1
5/29/1989,2.08,2.33,7.41,32.35,24.94,100.66,22.08,78.32,23.64,1
5/30/1989,7.28,2.16,7.79,32.57,24.78,100.72,21.28,79.14,23.83,1
5/31/1989,3.13,1.19,7.54,32.04,24.5,100.78,17.42,79.26,23.72,1
6/1/1989,0.17,0.73,6.9,31.79,24.89,100.7,23.6,75.01,23.29,1
6/2/1989,0.49,1.15,9.63,34.34,24.71,100.61,17.28,70.53,22.95,1
6/3/1989,0.64,1.07,9.59,34.71,25.12,100.62,23.3,70.65,23.23,1
6/4/1989,0.43,2.15,10.69,35.38,24.69,100.62,23.56,71.22,23.18,1
6/5/1989,0.89,2.27,8.1,32.91,24.81,100.66,24.19,75.55,23.63,1
6/6/1989,0.04,2.05,7.9,32.89,24.99,100.71,23.79,74.53,23.17,1
6/7/1989,0.52,2.22,11.96,36.63,24.67,100.56,23.63,67.63,22.64,1
6/8/1989,6.41,2.45,9.61,34.79,25.18,100.44,25.17,72.34,23.12,1
6/9/1989,7.93,3.05,5.24,29.53,24.29,100.47,21.67,84.37,23.66,1
6/10/1989,2.27,2.89,9.63,33.16,23.53,100.49,20.84,75.03,22.6,1
6/11/1989,3.11,2.47,8.24,32.79,24.55,100.69,16.25,77.81,23.51,1
6/12/1989,4.95,1.59,7.39,32.01,24.62,100.9,22.6,79.25,23.72,1
6/13/1989,6.51,1.34,11.89,35.67,23.78,100.84,22.79,68.92,22.27,1
6/14/1989,0.67,1.42,10.04,34.99,24.95,100.79,18.21,69.94,23.01,1
6/15/1989,7.29,1.15,7.01,32.32,25.31,100.87,21.53,78.16,23.59,1
6/16/1989,21.41,1.94,9.29,33.3,24.01,100.83,21.56,76.44,23.26,1
6/17/1989,0.72,2.08,8.09,32.29,24.2,100.79,18.52,76.29,23.15,1
6/18/1989,1.68,2.09,8.62,32.62,24,100.85,22.62,77.96,23.58,1
6/19/1989,1.3,2.41,8.71,33.16,24.45,100.78,21.79,77.11,23.63,1
6/20/1989,0.37,2.21,8.73,32.79,24.06,100.77,23.62,77.84,23.61,1
6/21/1989,1.51,2.46,8.07,32.16,24.09,100.7,23.1,77.43,23.28,1
6/22/1989,7.76,2.84,7.32,31.48,24.16,100.64,20.86,81.31,23.73,1
6/23/1989,39.94,2.65,5.85,30.56,24.71,100.59,19.85,87.5,24.54,1
6/24/1989,14.17,2.71,4.91,29.37,24.46,100.59,17.31,87.49,24.1,1
6/25/1989,25.51,2.8,5.26,28.37,23.11,100.62,14.58,87.61,22.88,1
6/26/1989,22.09,2.98,6.76,29.76,23,100.59,13.97,85.07,22.87,1
6/27/1989,4.5,2.27,7.95,30.68,22.73,100.65,12.07,85.26,23.73,1
6/28/1989,0.04,1.51,7.63,31.59,23.96,100.71,23.96,82.05,24.11,1
6/29/1989,0.15,1.48,7.15,30.83,23.68,100.63,23.75,82.44,23.95,1
6/30/1989,0,1.75,6.73,31.27,24.54,100.49,23.48,82.8,24.42,0
7/1/1989,0.11,1.46,4.75,29.65,24.9,100.56,16.9,85.59,24.36,1
7/2/1989,0.8,1.24,7.19,31.02,23.83,100.57,17.23,80.94,23.7,1
7/3/1989,0.34,1.32,4.55,28.86,24.31,100.67,19.7,85.04,23.63,1
7/4/1989,1.07,1.47,6.04,30.07,24.03,100.57,17.98,84.21,23.63,1
7/5/1989,3.15,2.65,7.38,31.26,23.88,100.67,16.03,83.57,24.04,1
7/6/1989,0.02,1.71,8.8,32.52,23.72,100.72,24.15,80.67,24.02,1
7/7/1989,0,1.3,7.22,31.64,24.42,100.63,24.97,79.29,23.79,0
7/8/1989,0.12,1.4,7.34,31.87,24.53,100.59,14.6,79.48,23.89,1
7/9/1989,5.89,1.65,8.26,32.95,24.69,100.55,21.4,80.77,24.53,1
7/10/1989,19.76,2.44,5.08,29.86,24.78,100.53,16.28,86.81,24.38,1
7/11/1989,20.12,2.24,5.74,29.63,23.89,100.55,18.5,87.74,24.09,1
7/12/1989,12.52,1.76,5.56,29.52,23.96,100.61,21.28,88.04,24.2,1
7/13/1989,1.43,1.67,5.96,29.77,23.81,100.7,15.65,87.34,24.24,1
7/14/1989,1.34,1.04,7.21,31.3,24.09,100.74,21.39,81.68,23.7,1
7/15/1989,2.04,1.7,5.16,29.62,24.46,100.69,22.51,86.59,24.26,1
7/16/1989,8.75,2.19,4.95,28.96,24.01,100.58,20.61,88.79,24.22,1
7/17/1989,35.92,3.31,3.98,28.19,24.21,100.48,20.61,91.45,24.35,1
7/18/1989,2.98,3.21,5.09,29.6,24.51,100.3,18.19,89.73,24.68,1
7/19/1989,6.35,3.23,5.07,29.53,24.46,100.38,19.08,89.54,24.69,1
7/20/1989,6.49,2.57,4.33,29.14,24.81,100.56,19.11,88.56,24.57,1
7/21/1989,8.33,2.87,3.93,27.67,23.74,100.58,13.61,92.97,24.45,1
7/22/1989,10.75,2.88,4.05,27.38,23.33,100.5,13.67,91.35,23.47,1
7/23/1989,2.08,2.91,5.56,29.19,23.63,100.52,15.05,89.1,23.81,1
7/24/1989,3.95,2.93,6.96,30.18,23.22,100.74,16.19,88.08,24.28,1
7/25/1989,1.95,2.36,6.83,30.56,23.73,100.79,17.91,87.67,24.47,1
7/26/1989,2,2.17,6.2,30.05,23.85,100.78,20.24,89.14,24.56,1
7/27/1989,0.9,2.27,8.35,31.71,23.36,100.9,21.98,84.66,23.98,1
7/28/1989,0,1.63,10.38,33.31,22.93,100.88,24.25,79.29,23.76,0
7/29/1989,0,2.31,7.6,31.58,23.98,100.74,23.68,84.18,24.44,0
7/30/1989,0.92,2.52,7.16,30.29,23.13,100.74,18.47,85.92,23.92,1
7/31/1989,3.62,3.04,6.55,30.62,24.07,100.7,18.82,84.7,23.79,1
8/1/1989,7.75,3.29,8.03,31.2,23.17,100.59,19.12,84.19,23.78,1
8/2/1989,8.99,2.5,5.3,29.54,24.24,100.56,15.78,87.13,23.94,1
8/3/1989,2.76,2.38,6.14,30.03,23.89,100.55,17.72,85.5,23.71,1
8/4/1989,1.08,2.88,6.83,30.44,23.61,100.51,16.43,83.42,23.3,1
8/5/1989,0.66,2.56,7.97,31.24,23.27,100.48,18.34,84.58,23.98,1
8/6/1989,1.58,2.7,7.89,31.33,23.44,100.51,21.09,84.59,24.06,1
8/7/1989,1.63,3.03,5.87,30.4,24.53,100.6,20.95,86.45,24.45,1
8/8/1989,1.05,2.38,5.6,29.8,24.2,100.56,21.64,86.7,24.22,1
8/9/1989,11.98,2.04,6.54,30.52,23.98,100.4,17.92,86.95,24.49,1
8/10/1989,20.07,2.92,5.91,30.23,24.32,100.41,14.29,89.16,24.49,1
8/11/1989,10.42,2.43,3.87,28.38,24.51,100.57,15.43,90.71,24.28,1
8/12/1989,8.5,3.05,6.59,30.8,24.21,100.56,18.04,88.17,24.63,1
8/13/1989,2.63,2.42,4.71,29.25,24.54,100.69,16.92,89.02,24.61,1
